Sensor_ID,Node_Name,Partition_ID,X_Coord,Y_Coord,Influence_Score,Avg_Sensitivity,Coverage_Nodes,Partition_Resilience,Sensitivity_Threshold
S001,254,0,1383.81332256711,4564.5952287743,49,0.8960,49,1.0000,0.4
S002,318,0,1024.16111371451,4072.38749102474,49,0.8797,0,1.0000,0.4
S003,49,1,2571.36236097817,2394.30390832141,43,0.5274,43,1.0000,0.4
S004,212,1,2491.2002765189,2783.60393110649,43,0.8197,0,1.0000,0.4
S005,38,2,2289.25064182636,1262.8616204347,35,0.6726,35,0.5143,0.4
S006,36,2,1900.74863182368,452.024328355535,1,0.1334,0,0.5143,0.4
S007,95,3,2429.52428045003,3089.88027987399,35,0.8154,35,0.5857,0.4
S008,404,3,3155.32314489234,3485.61389698514,6,0.4370,0,0.5857,0.4
S009,41,4,1857.11898464662,1885.7148716058,33,0.7499,33,0.7424,0.4
S010,45,4,1955.25275998003,2041.87550874597,16,0.4122,0,0.7424,0.4
S011,87,5,665.885094121277,4693.84355965006,28,0.8369,28,0.5714,0.4
S012,89,5,1087.65295625525,5234.42733603868,4,0.3189,0,0.5714,0.4
S013,62,6,1927.30899285514,4257.21206616329,26,0.7269,26,0.5769,0.4
S014,59,6,2087.84310662568,4360.14589671435,4,0.3743,0,0.5769,0.4
S015,34,7,3189.17051114014,2180.20087372214,25,0.9575,25,0.9200,0.4
S016,169,7,2897.00416143997,1764.54606346547,21,0.6473,0,0.9200,0.4
S017,297,8,1566.11287447007,3720.55442411331,20,0.9123,20,1.0000,0.4
S018,343,8,1430.66762165009,3284.95902869389,20,0.7492,0,1.0000,0.4
S019,64,9,2077.70972402887,4177.74501563424,19,0.5527,19,1.0000,0.4
S020,284,9,2308.20437085546,4569.38478948538,19,0.6722,0,1.0000,0.4
S021,56,10,2235.21143945652,2765.56781681926,18,0.6133,18,0.6944,0.4
S022,51,10,2117.34419977782,2749.56773953153,7,0.4194,0,0.6944,0.4
S023,332,11,1113.78849323277,4023.95232324798,15,0.8291,15,1.0000,0.4
S024,336,11,1189.83599405823,3837.45482791141,15,0.7891,0,1.0000,0.4
S025,92,12,2760.52153779026,606.930931114037,14,0.6793,14,1.0000,0.4
S026,115,12,2795.26827087551,1452.53229978896,14,0.7860,0,1.0000,0.4
S027,35,13,1654.58749041709,3092.95191143501,12,0.9808,12,1.0000,0.4
S028,365,13,1854.08251742001,3127.88208105233,12,0.9110,0,1.0000,0.4
S029,86,14,667.885103844332,4822.51084946659,9,1.0000,9,0.9444,0.4
S030,80,14,153.882611249913,5496.38063990957,8,0.7119,0,0.9444,0.4
